BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,10988,763.1567,668.0875,0.311625,763.1567,1.32,14,14,2232,1786
20,21958,734.1926,731.8746,692.7073,740.1267,1.36,24,24,4192,3096
30,32552,717.7852,706.5333,674.4371,720.3008,1.39,34,34,6152,4406
40,41340,590.5949,588.7575,562.4905,648.4995,1.67,44,44,8112,5716
50,49400,552.1002,538.344,500.2047,559.2896,1.80,54,54,10072,7026
60,56243,404.9729,458.806,315.7,516.0513,2.36,64,64,12032,8336
70,62296,431.833,403.621,346.631,433.404,2.32,74,74,13992,9646
80,67560,350.7098,352.2603,304.8163,387.608,2.83,84,84,15952,10956
90,72259,316.5053,313.9384,291.3532,329.9594,3.13,94,94,17912,12266
100,76343,266.1069,273.1197,242.0178,294.9815,3.74,104,104,19872,13576
110,79872,248.5378,235.659,216.6556,252.5978,4.04,114,114,21832,14886
120,83012,216.0704,209.7363,194.4524,218.0267,4.63,124,124,23792,16196
130,85895,186.8049,192.4208,186.1432,199.6507,5.35,134,134,25752,17506
140,88430,176.0605,168.9978,141.1459,184.9019,5.63,144,144,27712,18816
150,90718,155.9355,152.5953,146.1798,158.3849,6.37,154,154,29672,20126
160,92722,122.4257,134.0367,122.4257,144.1696,8.15,164,164,31632,21436
170,94479,116.4484,117.8282,109.1452,132.4858,8.55,169,169,32698,22148
180,96057,96.69209,105.6434,96.69209,115.3818,9.53,0,0,0,0
190,97517,83.66683,98.31711,83.66683,108.9596,11.36,0,0,0,0
200,98923,98.26025,93.47013,83.6361,99.8448,10.52,188,188,36433,24645
210,100275,94.56268,91.08284,66.60985,95.92216,11.01,212,212,41022,27712
220,101508,78.99157,82.12674,72.26356,85.61659,12.33,221,221,42826,28918
230,102653,77.89568,76.16737,70.51907,81.05125,13.15,202,202,39112,26435
240,103703,72.34743,70.22094,65.04233,76.29266,13.87,218,218,42161,28473
250,104699,68.6207,66.43963,63.78009,69.0429,14.55,238,238,46231,31193
260,105633,63.17197,62.33221,58.93078,64.11456,15.73,248,248,48140,32470
270,106514,59.01031,58.78701,56.17476,60.06718,16.93,255,255,49531,33399
280,107334,52.78445,54.60507,51.97148,55.62017,18.21,253,253,49015,33054
290,108112,52.0255,52.03605,50.69184,54.97457,19.21,260,260,50380,33967
300,108843,49.0209,48.84922,46.74821,50.26284,20.60,267,267,51910,34989
310,109531,45.8652,45.94481,45.20181,47.15557,21.75,254,254,49356,33282
320,110168,41.36891,42.57895,40.79766,43.82692,23.72,260,260,50449,34013
330,110760,39.78836,39.47004,37.7249,40.00658,25.16,260,260,50487,34038
340,111314,37.2565,36.96516,35.41913,37.53781,27.22,263,263,51085,34438
350,111837,35.12636,34.83235,34.4124,35.50822,28.77,280,280,54399,36653
360,112331,32.27732,32.99263,32.27732,33.9004,30.38,256,256,49598,33444
370,112798,31.47371,31.20338,30.84114,31.74263,32.09,258,258,50004,33715
380,113233,29.26258,29.04735,28.79453,29.40621,34.52,274,274,53204,35854
390,113648,27.81578,27.66095,26.45287,28.14455,36.01,273,273,53010,35724
400,114042,26.38085,26.23635,25.22177,26.47177,37.98,295,295,57273,38573
