BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
1000,3944,436.6281,336.4631,0.3189894,436.6281,2.29,3,3,196002,131004
2000,7442,354.9798,354.3015,333.2278,389.5892,2.83,5,5,392002,262004
3000,10143,277.8557,273.5186,264.0401,301.1348,3.51,7,7,588002,393004
4000,12513,235.9277,239.0881,224.9566,258.5139,4.20,9,9,784002,524004
5000,14446,193.7901,195.4698,185.9227,210.9547,5.17,11,11,980002,655004
6000,16310,187.1199,186.7037,184.5589,188.8344,5.33,13,13,1157382,773559
7000,18040,170.9514,173.3127,167.732,177.5538,5.82,15,15,1317906,880848
8000,19719,169.8149,168.243,163.0756,170.1124,5.91,16,16,1463730,978312
9000,21310,162.4099,159.1565,153.4865,162.4099,6.17,18,18,1605634,1073156
10000,22690,146.0128,138.5986,93.81474,146.5741,6.86,19,19,1739110,1162367
11000,24027,135.9922,134.8651,125.7696,137.1563,7.69,20,20,1859846,1243063
12000,25323,132.0612,128.8377,114.1135,132.0612,7.58,21,21,1977250,1321532
13000,26568,126.0749,124.5001,116.9745,127.4601,7.94,22,22,2076622,1387949
14000,27764,122.4328,119.6971,112.6468,122.9188,8.21,23,23,2174034,1453056
15000,28925,117.3421,116.1031,103.7322,119.167,8.65,24,24,2264586,1513578
16000,30058,115.5572,113.2488,107.1521,115.5572,8.73,25,25,2346122,1568074
17000,31144,111.3574,108.5875,101.7269,111.8325,8.96,26,26,2425502,1621129
18000,32204,107.5739,105.9266,97.49943,108.4188,9.29,26,26,2498806,1670123
19000,33229,105.8299,100.7752,87.32861,106.7966,9.18,24,24,2301565,1538293
20000,33988,74.255,80.09801,68.83287,114.9038,13.58,41,41,3920002,2620004
21000,34684,70.11233,69.94067,67.71023,72.35738,14.29,43,43,4116002,2751004
22000,35374,69.86263,69.03976,66.73289,69.90562,14.38,45,45,4312002,2882004
23000,36002,63.82622,63.08184,50.62103,66.08315,15.40,47,47,4508002,3013004
24000,36615,63.46585,61.42127,52.77164,63.46585,16.45,48,48,4704002,3144004
25000,37206,59.77278,59.16065,54.81439,60.28452,16.68,50,50,4900002,3275004
26000,37779,58.40127,57.41227,52.94879,58.57127,17.24,52,52,5096002,3406004
27000,38334,56.39032,55.43862,49.3428,56.81739,17.78,54,54,5292002,3537004
28000,38879,55.54603,54.49218,48.82003,55.74171,18.19,56,56,5488002,3668004
29000,39399,53.62441,52.01188,40.54428,53.82709,18.70,58,58,5684002,3799004
30000,39906,51.87852,50.79348,45.86841,51.95797,19.34,60,60,5880002,3930004
31000,40399,50.10477,49.29556,42.46802,51.09275,20.13,62,62,6076002,4061004
32000,40885,49.43688,48.50311,43.46742,49.67033,20.35,64,64,6272002,4192004
33000,41348,47.32504,46.4615,44.59123,47.32504,21.44,66,66,6468002,4323004
34000,41774,45.85723,42.78413,34.50909,45.95076,21.87,68,68,6664002,4454004
35000,42212,43.76603,43.73915,37.90683,45.1024,22.43,70,70,6860002,4585004
36000,42641,43.93293,42.951,38.69237,43.93293,23.03,72,72,7056002,4716004
37000,43055,37.54983,41.52021,37.48859,43.06295,23.99,74,74,7252002,4847004
38000,43463,41.48638,40.78178,35.29361,41.84313,24.08,76,76,7448002,4978004
39000,43862,40.69588,39.84643,33.29384,40.96404,24.68,78,78,7644002,5109004
40000,44252,37.81343,39.04979,34.56488,40.16286,25.39,80,80,7840002,5240004
