BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
100,4783,521.6173,410.5652,0.3322835,541.2796,1.82,105,105,19867,13567
250,9513,472.7003,476.7004,451.363,504.4985,2.12,255,255,49274,33230
400,13502,409.9742,402.0684,374.8165,430.743,2.47,405,405,78674,52880
550,17025,346.1294,354.5593,336.8245,373.016,2.94,555,555,108074,72530
700,20172,300.4081,315.7174,300.4081,325.9609,3.12,705,705,137474,92180
850,22969,283.9926,281.6063,263.7769,300.4106,3.51,855,855,166874,111830
1000,25484,262.2309,252.4424,231.7885,262.2309,3.81,1005,1005,196274,131480
1150,27825,235.8888,234.9984,223.2764,244.3011,4.19,1155,1155,225674,151130
1300,29943,202.7136,212.4904,202.7136,220.9615,4.85,1305,1305,255074,170780
1450,31855,194.7431,192.0207,166.7454,203.3745,5.13,1455,1455,284474,190430
1600,33656,181.7563,180.4513,172.254,185.4855,5.46,1605,1605,313874,210080
1750,35330,168.5106,167.7872,160.7713,171.7439,5.94,1755,1755,343274,229730
1900,36878,150.1829,155.048,141.6921,160.2633,6.61,1905,1905,372674,249380
2050,38329,145.5668,145.4771,140.2252,148.2291,6.86,2055,2055,402074,269030
2200,39702,138.7792,137.4213,129.1222,144.6633,7.09,2205,2205,431474,288680
2350,41051,139.7775,134.9303,121.2252,146.7238,7.19,2355,2355,460874,308330
2500,42325,126.8202,127.5226,123.8858,140.8526,7.95,2505,2505,490274,327980
2650,43547,134.2652,122.0646,83.64764,134.2652,7.58,2655,2655,519674,347630
2800,44670,74.77748,112.3789,74.77748,123.8579,9.92,1833,1833,358728,239956
2950,45770,94.60799,111.783,94.60799,116.8982,9.90,2955,2955,578474,386930
