BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,5242,570.2648,454.9001,0.3031749,575.0496,1.80,15,15,2227,1777
20,10545,535.21,531.1318,509.3476,544.9908,1.88,25,25,4194,3100
30,14985,443.3128,447.3502,342.3883,500.713,2.21,35,35,6154,4410
40,18830,392.9414,385.042,349.5171,412.3603,2.31,45,45,8114,5720
50,22111,280.1097,332.7127,280.1097,405.5286,3.44,55,55,10074,7030
60,24946,332.2658,283.8321,245.353,333.61,3.08,65,65,12034,8340
70,27740,238.8465,281.2112,238.8465,324.6079,4.12,75,75,13994,9650
80,30324,241.4455,257.7844,220.1191,309.846,3.96,85,85,15954,10960
90,32910,262.8649,258.4587,223.9486,293.524,3.76,95,95,17914,12270
100,35305,241.2934,241.2661,214.1361,281.906,4.25,105,105,19874,13580
110,37042,213.5452,174.1225,134.4579,213.5452,4.81,115,115,21834,14890
120,38778,205.5911,173.3943,121.779,209.5654,4.89,125,125,23794,16200
130,40283,190.4732,151.1342,113.6202,192.7978,5.29,135,135,25754,17510
140,41633,154.7059,135.596,92.95689,181.5999,6.87,145,145,27714,18820
150,42914,137.9713,128.246,96.07544,153.2964,7.63,155,155,29674,20130
160,44131,123.1311,121.9059,92.73379,155.7074,8.56,165,165,31634,21440
170,45367,110.2116,123.5782,94.43637,146.8102,9.76,175,175,33594,22750
180,46568,112.9654,121.7002,106.1581,137.3477,8.77,185,185,35554,24060
190,47477,74.90398,93.3185,65.85993,119.2646,13.80,195,195,37514,25370
200,48365,74.61672,89.38966,73.72752,116.9958,11.59,205,205,39474,26680
210,49302,123.3826,90.41199,69.39268,123.3826,8.47,215,215,41434,27990
220,50211,81.62587,92.74076,70.98991,109.6501,12.09,225,225,43394,29300
230,51126,73.70997,90.48834,73.70997,110.7842,11.44,235,235,45354,30610
240,52034,70.25223,91.93973,70.25223,104.4327,11.73,245,245,47314,31920
250,52925,82.78927,88.49929,75.05069,107.5061,12.28,255,255,49274,33230
260,53693,67.97449,79.09509,67.97449,89.95706,14.15,265,265,51234,34540
270,54370,68.64172,66.9762,49.48069,83.55595,14.68,275,275,53194,35850
280,55080,63.96656,70.69988,63.32037,78.64036,13.91,285,285,55154,37160
290,55671,67.17029,58.90151,51.97097,69.12106,16.49,295,295,57114,38470
300,56322,51.82738,65.66389,46.50061,83.12904,18.34,305,305,59074,39780
310,56956,62.43761,63.32456,49.83957,72.6111,14.78,315,315,61034,41090
320,57509,63.53964,55.10519,38.05633,65.99785,19.64,325,325,62994,42400
330,58119,54.78297,61.20028,54.78297,73.85368,17.82,335,335,64954,43710
340,58787,59.90216,66.58025,48.21137,80.02208,15.56,345,345,66914,45020
350,59477,79.14595,68.31721,58.74738,80.12911,12.89,355,355,68874,46330
360,60024,49.62989,56.7874,45.71008,74.43003,19.38,365,365,70834,47640
