BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
3000,631,66.82738,55.214,0.3226188,74.01698,16.60,0,0,0,0
3050,1294,68.8139,65.08041,53.24453,70.47478,15.02,0,0,0,0
3100,1951,69.67864,65.66493,60.53408,69.67864,14.88,11,11,596984,399302
3150,2527,48.35192,57.89207,48.35192,67.82273,18.97,16,16,612290,409774
3200,3014,48.03743,48.63462,45.45794,50.03089,20.49,19,19,599363,401275
3250,3498,48.49553,48.24442,46.01105,49.3632,20.68,20,20,620771,415716
3300,3949,48.56816,45.48123,41.11732,50.09824,22.38,14,14,614254,410979
3350,4414,49.99093,46.01519,36.63088,49.99093,21.62,12,12,611148,408768
3400,5010,49.94047,59.68929,49.94047,65.89347,17.81,11,11,596620,399058
3450,5647,65.36777,62.61506,53.29348,66.43282,15.77,12,12,647802,433266
3500,6274,61.65572,62.95671,59.68114,65.11288,16.05,11,11,586343,392189
3550,6865,54.95576,59.29456,52.29447,62.83647,17.24,12,12,667576,446483
3600,7421,58.18079,55.53428,46.83769,59.49254,18.10,12,12,610397,408266
