BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
100,4791,533.8619,414.1164,0.3015651,542.1084,1.84,105,105,19867,13567
200,9750,472.7857,497.1309,461.843,523.195,1.94,205,205,39474,26680
300,13982,434.4206,428.9809,406.975,450.2415,2.52,305,305,59074,39780
400,17922,375.6421,393.0245,374.9427,406.1924,2.52,405,405,78674,52880
500,21502,341.5044,359.1138,341.5044,371.2898,2.75,505,505,98274,65980
600,24802,317.3985,333.3328,317.3985,348.3028,3.26,605,605,117874,79080
700,27844,321.0768,303.0005,282.7827,321.0768,3.17,705,705,137474,92180
800,30426,261.903,259.2085,223.721,287.5097,3.79,805,805,157074,105280
900,32939,264.7817,251.8502,220.3297,264.8939,3.79,905,905,176674,118380
1000,35341,237.4236,240.7464,228.9825,246.2926,4.17,1005,1005,196274,131480
1100,37605,229.4804,226.931,212.7307,236.1365,4.36,1105,1105,215874,144580
1200,39729,217.94,212.7865,200.0877,218.6072,4.61,1205,1205,235474,157680
1300,41715,206.4935,199.0067,187.6595,207.2317,4.88,1305,1305,255074,170780
1400,43579,182.8352,186.5046,176.7633,194.8977,5.47,1405,1405,274674,183880
1500,45371,182.5774,179.3904,171.6163,182.8137,5.50,1505,1505,294274,196980
1600,47057,172.4505,168.7689,160.3016,173.8015,5.83,1605,1605,313874,210080
1700,48677,165.4443,162.1017,154.4192,165.4443,6.06,1705,1705,333474,223180
1800,50198,139.8965,152.2448,139.8965,158.327,6.97,1805,1805,353074,236280
1900,51654,148.3231,145.6626,135.8674,149.7654,6.73,1905,1905,372674,249380
2000,53042,140.8702,138.7946,133.6697,142.779,7.17,2005,2005,392274,262480
2100,54361,135.7015,131.8249,120.9802,135.7015,7.35,2105,2105,411874,275580
2200,55639,121.2991,127.8712,117.6504,131.6928,7.99,2205,2205,431474,288680
2300,56859,124.5329,122.4311,115.8149,126.4792,8.03,2305,2305,451074,301780
2400,58049,114.8977,119.2472,106.608,128.9877,8.43,2405,2405,470674,314880
2500,59186,115.0067,113.9945,106.536,116.6355,8.65,2505,2505,490274,327980
2600,60235,97.78279,105.8321,97.27115,110.4896,9.67,2605,2605,509874,341080
2700,61292,113.3264,105.1474,91.20601,113.3264,8.92,2705,2705,529474,354180
2800,62312,100.4742,102.6476,95.33839,114.896,9.92,2805,2805,549074,367280
2900,63330,108.7818,102.0451,95.94159,111.8088,9.42,2905,2905,568674,380380
3000,64261,86.9603,93.771,86.9603,95.87694,11.10,3005,3005,588274,393480
3100,65166,100.1548,90.16097,80.71982,104.4674,10.10,3105,3105,607874,406580
3200,66126,96.76765,95.3941,85.56906,99.85044,10.19,3205,3205,627474,419680
3300,67072,95.93673,94.84263,90.55387,96.78905,10.46,3305,3305,647074,432780
3400,67974,88.06636,90.07291,85.87789,94.33201,11.08,3405,3405,666674,445880
3500,68856,90.85921,88.35093,82.9712,91.62914,11.26,3505,3505,686274,458980
3600,69665,80.51889,81.38426,72.17456,85.89802,12.79,3605,3605,705874,472080
3700,70377,79.04321,71.20467,66.56583,79.04321,13.55,2322,2322,454630,304046
3800,71130,75.7308,75.30322,68.60545,80.13453,12.90,3805,3805,745074,498280
3900,71872,73.30998,74.61681,70.23512,76.97636,13.81,3905,3905,764674,511380
4000,72562,71.06628,68.71221,51.34978,73.87869,13.79,4005,4005,784274,524480
4100,73216,65.59484,65.36025,61.36876,67.60689,15.09,4105,4105,803874,537580
4200,73871,63.33648,65.07269,53.93054,69.99308,14.70,4205,4205,823474,550680
4300,74547,68.46683,67.63206,62.36164,70.63329,14.91,4305,4305,843074,563780
4400,75170,60.90896,62.78806,57.10109,65.78633,16.25,4405,4405,862674,576880
4500,75783,62.84574,61.24286,55.74743,63.16223,15.86,4505,4505,882274,589980
4600,76385,57.45321,60.12368,56.09417,62.24828,16.48,4605,4605,901874,603080
4700,76988,61.62437,60.45848,56.74642,62.38577,16.66,4705,4705,921474,616180
4800,77556,57.89394,56.83221,54.07938,60.01529,17.61,4805,4805,941074,629280
4900,78117,57.03049,56.24251,53.63465,58.00659,17.40,4905,4905,960674,642380
5000,78642,50.07908,52.56747,44.60752,54.96935,18.82,5005,5005,980274,655480
5100,79170,55.36377,52.71524,48.19937,55.36377,18.76,5105,5105,999874,668580
5200,79696,53.71956,52.5708,48.79763,53.96625,19.00,5205,5205,1019474,681680
5300,80202,51.67028,50.581,45.93239,52.28355,19.31,5305,5305,1039074,694780
5400,80695,49.93293,49.29839,43.5655,51.45918,20.22,5405,5405,1058674,707880
5500,81171,48.28631,47.57187,42.96687,49.90317,21.23,5505,5505,1078228,720949
5600,81629,47.05187,45.66143,40.59315,47.32505,21.55,5605,5605,1097874,734080
5700,82094,47.90518,46.49714,42.60879,47.90518,21.09,5705,5705,1117466,747174
5800,82521,38.9455,43.06038,38.9455,45.9641,23.44,5808,5808,1160951,808051
5900,82938,44.07495,41.49673,37.97045,44.94392,24.09,5908,5908,1185392,830817
6000,83359,42.41064,42.16915,39.98536,43.58079,23.80,6004,6004,1176145,786394
