BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
100,3612,404.2395,311.6894,0.326138,428.348,2.62,0,0,0,0
150,7307,360.6414,370.868,356.4247,379.7419,2.85,13,13,2456,1644
200,10804,368.661,349.611,291.3633,368.661,2.72,204,204,39274,26280
250,14267,352.036,346.5745,330.924,357.022,2.83,254,254,49074,32830
300,17386,293.7941,313.9156,293.7941,326.5822,3.36,304,304,58874,39380
350,20358,301.0969,296.7457,283.9452,305.7074,3.32,354,354,68674,45930
400,23051,277.6104,270.1206,259.4728,277.6104,3.60,404,404,78474,52480
450,25550,252.7488,250.5202,237.5053,254.9758,3.96,454,454,88274,59030
500,27886,225.6838,234.2583,212.916,243.6103,4.42,504,504,98074,65580
550,30143,225.7971,225.4629,214.8022,232.7982,4.40,554,554,107874,72130
600,32344,220.6042,220.2917,207.4066,225.4142,4.54,604,604,117674,78680
650,34420,208.9678,207.9002,186.2575,213.2665,4.78,654,654,127474,85230
700,36377,184.9686,195.9747,184.0311,202.6252,5.30,704,704,137274,91780
750,38218,185.798,183.9338,174.6188,188.8354,5.34,754,754,147074,98330
800,39964,175.8063,174.7399,165.3544,178.2464,5.68,804,804,156874,104880
850,41563,169.7127,159.9165,143.9429,169.7127,5.87,854,854,166674,111430
900,43177,154.1883,161.5077,154.1883,164.9017,6.31,904,904,176474,117980
950,44751,160.8795,157.2578,148.4791,160.8795,6.19,954,954,186274,124530
1000,46276,154.1769,152.4626,143.2866,154.8907,6.49,1004,1004,196074,131080
1050,47671,119.3334,141.1407,119.3334,146.9659,7.97,1054,1054,205874,137630
1100,48994,126.786,132.5641,121.4453,141.0573,8.09,0,0,0,0
1150,50208,124.2909,121.0181,115.8852,124.2909,8.18,0,0,0,0
1200,51395,118.7294,119.0584,113.3374,120.9572,8.38,0,0,0,0
1250,52552,115.9459,115.8846,110.6072,117.578,8.57,0,0,0,0
1300,53676,113.7108,113.2026,107.8338,114.4824,8.94,0,0,0,0
1350,54770,110.5056,109.0972,103.92,110.7433,9.20,0,0,0,0
1400,55810,104.9782,104.1146,96.82658,107.3662,9.39,0,0,0,0
1450,56827,96.89603,101.8377,96.89603,104.0959,9.96,410,410,80221,53626
1500,57807,97.93183,98.72322,93.95797,100.207,10.20,0,0,0,0
1550,58762,90.37264,95.32014,90.37264,97.99728,10.75,0,0,0,0
1600,59705,96.25749,94.22482,91.5399,96.25749,10.48,0,0,0,0
1650,60632,93.22933,92.82362,91.21828,93.92497,10.73,0,0,0,0
1700,61526,87.88949,89.62051,87.88949,91.13326,11.18,0,0,0,0
1750,62399,88.23834,87.15948,84.72613,88.36259,11.58,0,0,0,0
1800,63250,85.81226,85.08791,82.68098,86.31351,11.64,0,0,0,0
1850,64069,83.04482,81.97038,77.29436,85.19113,12.29,271,271,52943,35391
1900,64880,79.25854,81.14209,78.18311,82.57619,12.34,0,0,0,0
1950,65671,78.78464,78.99354,76.37584,80.47558,12.78,0,0,0,0
2000,66449,78.64136,77.70765,74.65993,78.98548,12.74,0,0,0,0
2050,67200,74.95886,75.08492,71.97414,76.53001,13.28,0,0,0,0
2100,67932,74.72758,73.39758,69.84464,74.84419,13.53,0,0,0,0
2150,68650,73.33595,71.55043,68.55661,73.48402,13.85,0,0,0,0
2200,69362,71.732,71.34629,67.88891,72.18019,13.96,0,0,0,0
2250,70063,70.8893,70.23358,67.58905,70.94283,14.15,0,0,0,0
2300,70748,68.08408,68.79581,66.31429,71.29005,14.55,0,0,0,0
2350,71420,67.80573,67.00433,63.80232,68.23267,14.98,0,0,0,0
2400,72066,64.45624,64.62001,59.72538,66.64465,15.73,0,0,0,0
2450,72707,65.28437,64.04105,61.88999,65.28437,15.41,0,0,0,0
2500,73334,62.91224,62.79145,53.9982,64.68358,15.66,0,0,0,0
2550,73952,62.59415,61.7399,59.88115,62.88887,16.27,0,0,0,0
2600,74577,64.15488,62.38919,59.38604,64.76242,15.70,2144,2144,419492,280405
2650,75224,67.05688,64.61424,61.01215,67.05688,15.25,1447,1447,282895,189108
2700,75840,59.13556,61.70182,59.13556,63.25182,16.21,2189,2189,428297,286291
2750,76460,62.83138,61.87813,58.88367,64.82025,15.93,1099,1099,214734,143552
2800,77058,60.1004,59.77257,56.46111,61.54861,16.66,2237,2237,437660,292548
2850,77653,60.51601,59.47176,55.97249,62.9208,16.39,1152,1152,225101,150481
2900,78209,52.22415,56.18971,52.22415,58.51091,17.89,2497,2497,488707,326666
2950,78783,57.01095,56.99358,50.58467,59.93179,17.47,1534,1534,299972,200522
3000,79331,55.43215,54.80084,53.07647,55.60231,18.31,2137,2137,418081,279462
3050,79876,53.9337,54.55968,52.60374,56.89716,18.33,2054,2054,401790,268574
3100,80408,53.88836,53.2678,51.7631,55.51418,18.54,1431,1431,279850,187073
3150,80933,52.21695,52.54896,49.10108,55.89064,19.47,2477,2477,484745,324018
3200,81450,54.06338,51.57153,49.36381,54.06338,19.11,1517,1517,296649,198301
3250,81953,49.18201,50.30753,47.9545,52.61199,20.09,1803,1803,352764,235800
3300,82480,49.77908,52.58397,47.99385,55.71532,18.43,0,0,0,0
3350,82974,52.74665,49.39527,47.7769,52.74665,19.92,0,0,0,0
3400,83483,48.11453,51.18371,48.11453,52.77766,19.93,464,464,90778,60683
3450,83956,46.98395,47.24846,44.99657,49.84728,21.31,2649,2649,518466,346556
3500,84422,47.2835,46.76447,44.8456,48.43594,21.29,1741,1741,340597,227674
