BoidCount,Frame,FPS,FPS_Avg,FPS_Min,FPS_Max,CPU_Main(ms),DrawCalls,Batches,Triangles,Vertices
10,7646,548.6199,463.666,0.2945686,553.886,1.90,21,21,2386,2094
20,15375,528.1257,515.3127,442.702,536.7103,1.92,31,31,4391,3494
30,22105,434.4312,450.4839,402.8067,480.3649,2.22,41,41,6424,4951
40,28024,371.4656,397.3036,335.978,447.963,2.78,51,51,8463,6419
50,33538,379.128,367.0486,334.6937,420.1245,2.63,55,55,10074,7030
60,38286,369.2687,316.2403,263.5481,369.2687,2.69,65,65,12034,8340
70,42721,274.5685,297.2145,232.5226,369.8111,3.51,75,75,13994,9650
80,46958,299.2377,282.7928,230.3541,312.9916,3.36,85,85,15954,10960
90,50653,215.0695,247.563,186.7628,294.2805,4.67,95,95,17914,12270
100,53537,172.7207,192.7592,159.1816,246.1613,5.74,105,105,19874,13580
110,56215,151.9811,178.7696,138.5855,234.6004,6.42,115,115,21834,14890
120,58759,197.9359,169.2095,123.8899,219.6602,5.03,125,125,23794,16200
130,61038,122.3318,152.3352,116.3839,205.9574,8.16,135,135,25754,17510
140,63144,154.0331,140.3911,102.0949,164.9302,6.29,145,145,27714,18820
150,64834,83.60954,115.2184,79.73071,143.9789,11.25,155,155,29674,20130
160,66393,101.1429,101.6366,67.41118,132.3572,9.81,165,165,31634,21440
170,67909,120.7127,100.9854,55.75583,124.1309,8.60,175,175,33594,22750
180,69288,83.23254,94.01888,61.77119,118.851,11.02,185,185,35554,24060
190,70583,81.29974,85.87902,55.82048,106.2855,14.01,195,195,37514,25370
200,71902,103.4612,86.81773,59.60785,103.4612,9.96,205,205,39474,26680
210,73298,101.3496,93.33841,68.78986,107.3076,9.98,216,216,41603,28328
220,74536,70.60538,83.74078,55.99003,102.9897,12.39,225,225,43394,29300
230,75895,81.13329,89.99379,62.34427,119.8305,12.31,235,235,45354,30610
240,77386,91.2592,99.19359,72.89339,118.4036,12.09,245,245,47314,31920
250,78663,81.31502,85.31481,66.6554,106.8239,11.46,255,255,49274,33230
260,79612,68.32699,63.39467,48.963,77.08686,14.38,265,265,51234,34540
270,80501,59.3876,60.36191,44.19121,68.87597,16.72,275,275,53194,35850
280,81405,48.14216,60.15754,39.32117,80.71985,17.00,285,285,55154,37160
